Index,SMILES,Density,vdw,coulomb_interaction,D[cat] m2/s,Cla_75%
COCC(C)OC,COCC(C)OC,1434.65,-245.046149,-938.7129503,2.86E-11,0
COCCC(C)F,COCCC(C)F,1443.35,-244.7944945,-918.5799267,3.33E-11,1
COCCCC(C)(F)F,COCCCC(C)(F)F,1445.33,-245.9614556,-931.1246093,3.74E-11,1
COCCCC(C)C(F)F,COCCCC(C)C(F)F,1444.64,-243.7845895,-932.3701514,1.76E-11,0
COCCCC(C)CF,COCCCC(C)CF,1441.62,-241.5494258,-916.3782118,3.33E-11,1
COCCCC(F)(F)F,COCCCC(F)(F)F,1459.91,-240.363036,-931.9063449,2.88E-11,0
COCCCC(F)F,COCCCC(F)F,1450.97,-243.9296859,-936.4443846,2.34E-11,0
COCCCCCF,COCCCCCF,1439.05,-243.4858765,-916.3395636,2.76E-11,0
COCCCCF,COCCCCF,1440.18,-243.9125992,-926.7086854,3.06E-11,0
COCCOC(C)(C)F,COCCOC(C)(C)F,1443.98,-248.0647678,-926.8075381,2.57E-11,0
COCCOC(C)CF,COCCOC(C)CF,1443.4,-249.4467319,-940.0935385,2.16E-11,0
COCF,COCF,1450.98,-242.4297694,-935.554662,4.96E-11,1
FCOCC(F)(F)F,FCOCC(F)(F)F,1477.24,-241.6416992,-932.3679828,4.28E-11,1
O=C(CCO)OCF,O=C(CCO)OCF,1464.94,-251.9524936,-922.9638745,3.02E-11,0
OC(F)(F)C(F)(F)C(F)(F)F,OC(F)(F)C(F)(F)C(F)(F)F,1507.51,-236.5623178,-904.8255874,2.10E-11,0
